first_location,first_architecture,first_month,first_consumption_ml_day,first_pressure_p95_pct,second_location,second_architecture,second_month,second_consumption_ml_day,second_pressure_p95_pct,consumption_difference_pct,pressure_ratio,hydrology_source_ids,model_source_id
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,0.8623637559768851,19.315910038553525,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,10,17.631360911378515,0.7507609580400378,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,1.5718967637418209,18.72274264423398,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,4,17.602846437659863,0.8648748435260727,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,2.553406098947923,17.51663481616574,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,1.4533347399722503,17.279167934950433,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,1.623242586936946,17.24492515237588,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,2.1910236866945776,16.99534773758298,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,2.3596596576365125,16.96166741226015,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,1.2748432828777994,16.940989809244474,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,3,17.41115935851971,0.8010068027762554,Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,1.9588252611951438,16.81291455498596,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,12,16.817773013971404,0.0461342630644143,2.2481522664961298,16.788960158729267,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,1,16.788776887151638,0.0462258706257921,2.4166897400006464,16.755688839500678,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,0.02524303455507738,16.732206455479698,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,2.013868359794238,16.662724380645088,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,11,17.376695685310406,0.7927291293276406,Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,1.7643775325564375,16.639168444561836,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,2.071100413045892,16.460376103038318,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,0.7235077484205701,16.45737041265257,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,0.7814934796263164,16.25751590621873,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,3,17.41115935851971,0.8010068027762554,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,1.4805738669053725,16.223091415507426,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,0.5105591675166322,16.1452146814064,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,11,17.376695685310406,0.7927291293276406,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,1.2851776092676443,16.055440588324494,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,0.23923039285025574,15.880020313560253,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,12,17.20455766710506,0.7745463045407869,Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,0.2974989823231734,15.687177013424895,USGS_02336000; USGS_06610000,LEI_MASANET_2022
